Investor Name,Type,POC Name,Designation,Website,LinkedIn,Twitter,Cheque Size / Portfolio Range,Sectors (Tags),Portfolio Companies,Profile Bio
Google,Angel Investor,Apurva Chamaria,Head of Startups & Venture Capital at Google,,https://www.linkedin.com/in/apurvachamaria/,,,"Edtech, SaaS, Consumer","Joshtalks, Innov8, Shereos","Apurva Chamaria currently serves as the Senior Vice President (SVP) & Chief of Staff to the CEO & Managing Director of Tech Mahindra. Formerly, he held the position of Chief Revenue Officer at RateGain, a renowned SaaS provider in the travel and hospitality sectors. At HCL, he directed corporate marketing, overseeing brand marketing, employer branding, thought leadership, digital marketing, analytics, finance, and communications. As SVP & Chief of Staff at Tech Mahindra, he plays a pivotal role in managing the CEO's office and facilitating strategic decision-making. His extensive experience includes fostering growth, driving revenue initiatives, and building strong client relationships during his tenure as Chief Revenue Officer at RateGain."
"Aashray Portfolio Pvt Ltd , India",Angel Investor,Arjun Seth,"Managing Director at Aashray Portfolio Pvt Ltd , India",,https://www.linkedin.com/in/arjunpearlseth/,https://twitter.com/arjunpearlseth?lang=en,,Consumer,"Ekacare, Burgerama, Batterypool, Zypp electric","Experienced Managing Director with a demonstrated history of working in the polyester resin & travel industry. Skilled in Management, Negotiation, Business Planning, Partnerships and Sales. Has led large teams across India, building a 1000 crore offline to online profitable travel business which he successfully sold to a Nasdaq listed company. Mentors, advises and invests in various startups."
V3 Ventures,Angel Investor,Arjun Vaidya,CoFounder at V3 Ventures,,https://www.linkedin.com/in/arjunvaidya/,,,"AI/ML, HealthTech, Edtech, SaaS, Consumer, Media","GoKwik, TrulyMadly, Growthschool","Arjun Vaidya is an esteemed Angel Investor hailing from the vibrant city of Mumbai. His presence within the investment sphere is marked by a remarkable track record. He specializes in strategic investments within key sectors such as HealthTech, Real Estate, Commerce and Shopping, demonstrating his acute ability to identify promising opportunities. Arjun's investment portfolio boasts a roster of carefully selected startups, including notable ventures such as Dil Foods, Blitz, Mykare Health, and an impressive array of twentyfour others. Rooted in Mumbai's dynamic entrepreneurial ecosystem, Arjun Vaidya has established himself as a pivotal figure. His investment preferences reflect a calculated approach, with a strong focus on HealthTech, Real Estate, Commerce and Shopping sectors. This demonstrates not only his versatility but also his adeptness at recognizing innovation across various industries."
Bain & Company,Angel Investor,Arpan Sheth,Senior Partner at Bain & Company,,https://www.linkedin.com/in/arpansheth/,,,"AI/ML, Fintech, HealthTech, SaaS, Consumer","Flash, Cashflo, Wishlink, Weskill","A seasoned consultant with a wealth of experience, offering guidance to businesses and investors across the United States, Australia, India, the Middle East, and China. I have resided and operated in the USA, Australia, and India, and successfully led assignments in locations such as China, Singapore, and the GCC. My collaborations have been instrumental in assisting management teams and founders of prominent digital-native platforms and other enterprises aiming to foster customer-centric transformations, leveraging the potential of digital and analytical technologies. At the helm of Bain Falcon and Bain Innovation Ecosystem (BIE), I've forged strategic partnerships within India's startup ecosystem. Currently, I hold the position of leading Bain's Private Equity Practice in India, spearheading commercial diligence efforts and post-acquisition initiatives for nearly 200 transactions spanning India and the wider Asian region. As the principal author of the annual Bain India private equity report since 2010, I remain deeply engaged in India's philanthropic landscape, serving on the board of Dasra, the nation's foremost philanthropic impact organization, as well as Magic Bus. My commitment to fostering startups in India is evident through my active support for ventures like THB, SecurityAdvisor, Vernacular.ai, CashFlo, Avataar.me, Flatheads, HealthSpring, Delhivery, Dataweave, Medikabazaar, and numerous others."
Artha group,VC (Tier 2),Shivika Bansal,Investment professional at Artha group,https://artha.vc/,https://www.linkedin.com/in/shivikabansal/,https://twitter.com/GroupArtha,,"Fintech, HealthTech, Edtech, SaaS, Consumer, Media, Agritech","Hubbler, Piggyride, Beardo, Purplle","Artha Venture Fund, managed by Artha India Ventures, is a well-established early-stage venture capital fund. It focuses its investments primarily in sectors such as information technology, IoT, LOHAS and wellness, cleantech, and gaming. With its vintage status, the fund brings experience and expertise to support innovative startups in these sectors, fostering their growth and success."
Fibe India,Angel Investor,Ashish Goel,Co-founder & CFO at Fibe India,,https://www.linkedin.com/in/ashishgoyalearlysalary/,https://twitter.com/ashishgoyal008?lang=en,$1M - $3M,"Fintech, Mobility, Consumer, SaaS","Murf.ai, Blissclub, Zorp, Mokobara, Moeving","Ashish Goel, an angel investor based in Bengaluru, has made significant investments in various sectors. His prominent investment areas include sports, consumer products, and fintech. Ashish has a diverse portfolio of investments, supporting startups such as Dawaa Dost, Mokobara, Turno, and others, leveraging his industry insights and financial backing."
Urban Ladder,Angel Investor,Ashish Goel,Founder & CEO at Urban Ladder,,https://www.linkedin.com/in/ashish-goel-591572/,,-,"Fintech, SaaS, Mobility, Consumer","Blissclub, Mokobara, The souled store, Turno, WIngy","Ashish Goel, an Angel Investor based in Bengaluru, focuses on investing in Hardware and Technology, Edu-Tech, and Fin-Tech startups. He has made strategic investments in ventures such as Newtrace, Dawaa Dost, and Mokobara, among others."
HELION ADVISORS PRIVATE LIMITED,Angel Investor,Ashish Gupta,Managing Director at HELION ADVISORS PRIVATE LIMITED,,https://www.linkedin.com/in/ashish-gupta-9632571/,,-,"Fintech, Edtech, SaaS, Consumer","Bzaar, Shiprocket, Drivetrain, Indicube, Hypertrack","Dr. Ashish Gupta, a well-known serial entrepreneur, angel investor, and venture capitalist, has joined Prime Venture Partners as Partner Emeritus. He will play a crucial role in the Investment Committee and decision-making process for future investments at Prime VP. Dr. Gupta co-founded Helion Ventures, a significant player in the investment landscape."
Bigtree entertainment,Angel Investor,Ashish Hemrajani,Founder & CEO at Bigtree entertainment,,https://www.linkedin.com/in/ashishhemrajani/,https://twitter.com/fafsters,$3M - $6M,"Fintech, Edtech, SaaS, Media","Juspay, Park+, Pazcare, Zorro,","Ashish Hemrajani is a seasoned entrepreneur with a remarkable journey. He is the CEO and Co-founder of Bigtree Entertainment Private Limited, the company behind the popular platform BookMyShow. After completing his MBA from Sydenham University in 1997, Ashish pursued his passion for entrepreneurship and founded Bigtree Entertainment Pvt. Ltd. Since then, he has led the company's growth and expansion, establishing BookMyShow as a prominent player in the entertainment industry. Prior to this, Ashish gained valuable experience in client management and account management at J Walter Thompson (JWT), where he honed his skills in building successful business relationships."
InnoVen Triple Blue Capital Advisors LLP,Angel Investor,Ashish Sharma,Managing Partner at InnoVen Triple Blue Capital Advisors LLP,,https://www.linkedin.com/in/ashishsharma91/,,,"Fintech, Edtech, SaaS, Consumer, Media","Milkbasket, Wagr, hyperface, Stockgro","Ashish Sharma boasts a wealth of experience spanning more than two decades within the financial services arena, where he has showcased his proficiency in both operations and investments. Throughout his career, Ashish has held notable leadership positions at distinguished companies such as SBI Cards, GE Capital Services India, GE Money India, and GE Maruti Countrywide, thereby gaining comprehensive insights into the industry's dynamics. His contributions extend beyond individual roles, as he has actively participated on the boards of numerous enterprises.Ashish's expertise encompasses a diverse array of domains, ranging from debt and equity management to structured finance, P&L oversight, strategic planning, business expansion, mergers and acquisitions, and the governance of corporate boards. Notably, he champions the cause of financial inclusion and has been instrumental in spearheading initiatives aimed at fostering financial literacy and enhancing credit accessibility across India.Currently, Ashish Sharma holds the position of Managing Partner at InnoVen Triple Blue Capital Advisors, a testament to his continued dedication and influence within the financial sector."
Posist,Angel Investor,Ashish Tulsian,Co-Founder & CEO at Posist,,https://www.linkedin.com/in/ashishtulsian/,,,"HealthTech, Edtech, Media, SaaS","Growthschool, Joshtalks, Zorro, Plum","Ashish Tulsian, the co-founder and CEO of POSist, a prominent cloud-based restaurant technology platform, possesses a unique blend of technocratic and restaurateur expertise. With his visionary approach, POSist now caters to over 9,000+ restaurants across various regions, including UAE, USA, UK, Gulf, LATAM, and Southeast Asia. Prior to this, Ashish held the position of Director & CEO at TechnoApex Software Pvt. Ltd. Besides his entrepreneurial ventures, Ashish is an active angel investor, backing promising startups like Growthschool, Joshtalks, Zorro, and Plum."
BharatPe,Angel Investor,Ashneer Grover,Founder at BharatPe,,https://www.linkedin.com/in/ashneer/,https://twitter.com/Ashneer_Grover,$3M - $6M,"Fintech, HealthTech, Edtech, SaaS, Consumer, Media","Park+, Koo, Zorro, Hoopr, Junio, Frontrow","Ashneer Grover is a notable angel investor and entrepreneur hailing from India. In 2018, he co-founded BharatPe, a prominent fintech startup in the country. Ashneer also served as a judge in the first season of Shark Tank India. He holds a B.Tech degree in Civil Engineering from IIT Delhi and an MBA from IIM Ahmedabad. Prior to starting BharatPe, Ashneer gained valuable experience working with renowned companies such as Kotak Investment Bank, Grofers, PC Jeweller Ltd, and American Express. He is an active investor with around 55 investments in various startups spanning fintech, health tech, and auto tech industries. Notable investments include Rupifi and YAP since 2020, as well as previous investments in Ribbit and Vinny Pujji's fund. Ashneer has also invested in startups like BIRA, Meddo, Nazara, IndiaGold, among others."
Renee Cosmetics,Angel Investor,Ashutosh Valani,CoFounder at Renee Cosmetics,,https://www.linkedin.com/in/ashutoshvalani/,https://twitter.com/ashutoshvalani,,"AI/ML, HealthTech, Mobility, Consumer","Woovly, Vama, Zippee, Daalchini","Ashutosh Valani emerges as a noteworthy Angel Investor originating from Ahmedabad, contributing significantly to the investment landscape. His discerning investment approach is most pronounced in the sectors of Sports, Internet Services, and Data and Analytics, showcasing his adeptness at identifying promising prospects. Ashutosh's investment portfolio is graced by a selection of startups that echo his strategic insights, including notable ventures such as Slick, Perfora, Woovly, and an impressive assortment of eleven others. Hailing from Ahmedabad, Ashutosh Valani has solidified his presence within the entrepreneurial ecosystem. His investment inclinations reflect a calculated approach, spanning across Sports, Internet Services, and Data and Analytics sectors. This demonstrates his ability to not only diversify his investments but also recognize innovation across diverse industries. Ashutosh's role as an Angel Investor extends beyond financial contributions, embodying an active commitment to nurturing growth and fostering innovation. His investments in Slick, Perfora, Woovly, and numerous other startups underscore his dedication to supporting visionary ideas and propelling them towards fruition."
OfBusiness,Angel Investor,Asish Mohapatra,Founder & CEO at OfBusiness,,https://www.linkedin.com/in/asish-mohapatra-22685a28/,,-,"Fintech, HealthTech, SaaS, Mobility, Consumer","Gokwik, Saveo, Tranzact, Liquide","Asish Mohapatra is a prominent angel investor and accomplished entrepreneur, playing key roles in the Indian startup ecosystem. He is the Co-Founder of Oxyzo Financial Services Pvt Ltd, a fintech venture focused on providing inclusive financial solutions to individuals and businesses. Asish also serves as the Co-Founder and CEO of OfBusiness, a leading B2B commerce platform revolutionizing procurement and financing services for businesses. With his deep expertise in technology, finance, and business, Asish actively invests in early-stage startups, particularly in the fintech and B2B sectors. His visionary leadership and passion for driving positive change have made him a respected figure in the startup community, shaping the success stories of numerous ventures in India."
Axilor,VC (Tier 3),Ananth Narayanan,Analyst at Axilor,https://www.axilor.com/,https://www.linkedin.com/in/ananth-narayanan-2000vc/,https://twitter.com/agsananth2000,$1M - $3M,"Fintech, SaaS, HealthTech, Consumer","Switcho, Urbanpiper, Vyapar, Enkash, Numen, Pepper farms, Loco, Kaagaz","Axilor Ventures is a leading venture capital firm in India that focuses on supporting and nurturing entrepreneurs to increase their chances of success. With a diverse portfolio of startups, including Urbanpiper, Vyapar, Enkash, Numen, Pepper farms, Loco, and Kaagaz, Axilor Ventures provides these companies with the essential elements required to build and scale successful businesses. This includes access to capital, mentorship, strategic guidance, industry connections, and a supportive ecosystem. By offering comprehensive support and resources, Axilor Ventures plays a crucial role in helping early-stage startups thrive and achieve their growth potential. Their average investments are around $500k - $700k."
Coin Center,Angel Investor,Balaji S. Srinivasan,Cofounder at Coin Center,,https://www.linkedin.com/in/balajissrinivasan/,https://twitter.com/balajis,,"AI/ML, Fintech, Edtech, SaaS, Consumer","Ultrahuman, Daolens, Koo, Pepper content","Balaji S. Srinivasan is currently engaged in angel investing and is taking a sabbatical from active professional commitments. In the past, he held significant roles, including Chief Technology Officer (CTO) at Coinbase and a General Partner at Andreessen Horowitz. He also cofounded notable ventures such as Earn.com (later acquired by Coinbase), Counsyl (acquired by Myriad), Teleport (acquired by Topia), and Coin Center. Dr. Srinivasan's career trajectory reflects his remarkable achievements. Before his tenure at Coinbase, he served as the CEO of Earn.com, contributing to its acquisition by Coinbase. His role as a General Partner at Andreessen Horowitz further showcased his expertise in the investment landscape. The inception of Counsyl, where he played a cofounder and CTO role, marked another significant milestone in his journey. His work at Counsyl earned him recognition, including a Wall Street Journal Innovation Award for Medicine and a spot on the MIT TR35 list."
Beenext,VC (Tier 1),Anirudh Garg,Associate at Beenext,https://www.beenext.com/,https://www.linkedin.com/in/anirudh-garg98/,https://twitter.com/AnirudhGarg24,$6M - $10M,"Fintech, SaaS","NoBroker, BharatPe, AngelList, Flobiz etc.","BEENEXT is a venture capital firm founded by entrepreneurs with a strong focus on supporting and empowering founders. They prioritize founder-friendly approaches and understand the importance of operational experience in the venture capital landscape. With their extensive investment portfolio spanning across nine different countries, BEENEXT offers a highly unique perspective and insights to entrepreneurs. Their expertise and network allow them to assist entrepreneurs in scaling their businesses and taking them to the next level. By leveraging their global presence and experiences, BEENEXT provides valuable guidance, resources, and connections to help startups thrive in the competitive market. The closed investments deals are usually in the range of 5 - 10 millions dollars."
Gupshup,Angel Investor,Beerud Sheth,CEO at Gupshup,,https://www.linkedin.com/in/beerud/,,,"Fintech, Edtech, SaaS","Siply, Pepper content, Decentro,",Co-Founder & CEO at Gupshup. He's a serial tech entrepreneur and investor who likes creating and investing in innovative products that engage millions of users.
Bessemer,VC (Tier 1),Moksha,Associate at Bessemer,https://www.bvp.com/india,https://www.linkedin.com/in/moshimoshe/,https://twitter.com/moshimoshe,Greater than $20M,"SaaS, HealthTech, Consumer","Twilio, Pinterest, Shopify, LinkedIn, Auth0, Yelp, Twitch etc.","Bessemer Venture Partners is a versatile venture capital firm that invests across all stages of a business. They support entrepreneurs who are passionate, thoughtful, and driven to transform exciting ideas into thriving businesses. Bessemer Venture Partners values founders who challenge conventions and push the boundaries of technology. They focus on various sectors including enterprise, consumer, e-commerce, healthcare, security, SaaS, enterprise software, fintech, and mobile. By providing capital and expertise, Bessemer Venture Partners plays a pivotal role in helping these innovative companies succeed and make a lasting impact in their respective industries."
Better Capital,VC (Tier 1),Sahil Aggarwal,Partner at Better Capital,https://www.bettercapital.vc/,https://www.linkedin.com/in/saggarwa08/,,$3M - $6M,"Fintech, HealthTech, Edtech, Mobility, Consumer, Media, SaaS, Agritech","Airmeet, Flint, Gullak, Klub, Testbook, Defy","Better is an early-stage venture firm that focuses on building and investing in innovative businesses that have the potential to redefine their respective industries. They have a diverse investment portfolio spanning across various sectors, including Fintech, Crypto, Edu-Tech, SaaS, Software, Agri-Tech, Health Tech, and Gaming. By strategically investing in these areas, Better aims to support and nurture startups that are pushing the boundaries of technology and creating significant impact. Their expertise lies in identifying promising ventures and providing them with the necessary resources and guidance to thrive in their respective markets."
Tradeindia.com,Angel Investor,Bikky Khosla,CEO at Tradeindia.com,,https://www.linkedin.com/in/bikky-khosla-46b23/,,,"AI/ML, HealthTech, SaaS, Consumer","Knudge.me, We360.ai, Ziffyhomes, Clensta","Bikky Khosla is an Angel Investor from Delhi. Prominent investment areas are Apps, Food and Beverage, Edu-Tech and has invested in startups like We360.Ai, Lal10, Subcom & 13 others."
Flipkart,Angel Investor,Binny Bansal,Co-founder at Flipkart,,https://www.linkedin.com/in/binnybansal/,https://twitter.com/binnybansal,$3M - $6M,"Consumer, HealthTech","Flipkart, CureFit, Avail Finance, Roposo, Nymble Labs, Sigtuple","Binny Bansal is a renowned Indian billionaire Internet entrepreneur, recognized for his significant contributions to the e-commerce industry. As the Co-founder and Executive Chairman at xto10x Technologies, he continues to drive innovation and growth in the tech sector. Binny Bansal also holds the position of Co-founder at Flipkart, a pioneering e-commerce platform that he established in 2007 alongside Sachin Bansal (no relation). He initially served as the Chief Operating Officer and later took on the role of Chief Executive Officer (CEO). Alongside his entrepreneurial ventures, Binny Bansal shares his expertise as a Board Advisor at Udhyam Learning Foundation and N/Core. His leadership and entrepreneurial acumen have made a lasting impact on the digital landscape in India."
Titan Capital,Angel Investor,Bipin Shah,Partner at Titan Capital,,https://www.linkedin.com/in/bipin-shah-81510421/,,,"Edtech, SaaS, Consumer, Media","Chefkart, Chirrup, Anveshan, Intervue","Bipin Shah, a seasoned angel investor and partner at Titan Capital, a reputable Venture Capital firm, specializes in nurturing early-stage startups led by talented entrepreneurs. His commitment to empowering passionate founders early on in their journeys led him to initiate ""Chai with Titan,"" a mentorship and feedback program providing valuable guidance and support."
Blume,VC (Tier 1),Radhika Agarwal,Investment Team at Blume,https://blume.vc/,https://www.linkedin.com/in/radhikaagar/,https://twitter.com/radhika_agar,$1M - $3M,"SaaS, HealthTech, Consumer, Mobility","Cashify, HealthifyMe, TaxiForSure, Belong etc.","Blume Ventures is a seed-stage venture fund that focuses on providing funding in the range of $50K-$250K to technology-centric startups. They go beyond just financial support and actively mentor and support the startups they invest in. With a diverse portfolio, Blume Ventures invests in sectors such as software, mobile, e-commerce, and more. They have a particular interest in entrepreneurs who are addressing prevailing problems in large markets with innovative solutions. By offering both capital and guidance, Blume Ventures aims to fuel the growth and success of early-stage startups in the tech ecosystem. Blume's cheque sizes are now at $400k to $750k."
Campus Fund,VC (Tier 3),Chiranjeev Anand,Central Team at Campus Fund,https://www.yourcampusfund.com/,https://www.linkedin.com/in/chiranjeevanand/,https://www.google.co.in/,$1M - $3M,"SaaS, HealthTech","ParkSmart, We360, Xfinito, HealthySure","Campus Fund is a Bengaluru-based venture capital firm that was established in 2020. With a focus on investing in emerging technologies, Campus Fund specializes in sectors such as AI and ML, Apps, Commerce, and Shopping. They have made notable investments in startups including D-Nome, Exmyb, Healthysure, and two other startups, contributing to the growth and development of these innovative companies. Campus Fund aims to identify and support promising startups with disruptive ideas and strong growth potential. By providing capital and strategic guidance, Campus Fund aims to help these startups thrive and make a significant impact in their respective industries. Their average cheque size is around $60,000."
Caspian Investments,VC (Tier 3),Pranav Varma,Investment Associate at Caspian Investments,https://caspianequity.in/,https://www.linkedin.com/in/pranav-varma-42940370/,,$6M - $10M,"Fintech, SaaS, Agritech","Bharatrohan, Veritas finance, Ecozen. Skymet","Caspian Impact Investments is a provider of digital corporate lending services aimed at investing in enterprises that address access and efficiency challenges while making a positive social or environmental impact. With a focus on supporting business growth and expansion, Caspian Impact Investments offers lending and investment products, along with valuable advice and connections."
Country Delight,Angel Investor,Chakradhar Gade,Co-founder at Country Delight,,https://www.linkedin.com/in/chakradhar-gade-1025a12/,https://twitter.com/chakrigade,$3M - $6M,"Edtech, Agritech, SaaS, Consumer","Nxtwave, Krishify, Blissclub","Chakradhar Gade, an Angel Investor based in Gurugram, is the Founder of Country Delight. With a focus on various sectors including Commerce and Shopping, Agritech and Farming, and Media and Entertainment, he has made strategic investments in startups such as Rigi, Ginglani Distillers, Nxtwave, and two others. With his expertise and experience, Chakradhar Gade plays a crucial role in supporting and nurturing promising ventures in these industries, contributing to the growth and development of the startup ecosystem."
"CSD Associates, India",Angel Investor,Chand Das,"Business & Leadership Coach at CSD Associates, India",,https://www.linkedin.com/in/chanddas9a85bb13/,,,"SaaS, Mobility","Tinkerly, Lal10, Autonxt","Currently operating as both an executive coach and an angel investor, my previous role encompassed serving as the CEO of Education & Stationery Products at ITC. My extensive professional journey spans over three and a half decades, characterized by my proficiency in establishing and managing scaled B2B and B2C enterprises within the Indian market. My fervor for angel investing and mentoring remains unwavering. My objective revolves around aiding the triumph of executives, business professionals, and entrepreneurs. This commitment drives me to remain actively engaged in networking endeavors involving alumni from renowned institutions such as IIT and IIM. Throughout my career, I have accumulated substantial experience, fostering a robust foundation in orchestrating and sustaining successful ventures. My present focus on executive coaching and angel investing reflects my enduring dedication to facilitating the growth and triumph of individuals and enterprises alike."
"Scope eKnowledge Center P Ltd, India",Angel Investor,Chandu Nair,"Executive Director & Cofounder at Scope eKnowledge Center P Ltd, India",,https://www.linkedin.com/in/chandunair/?ref=ynos.in,https://twitter.com/chandunair?ref=ynos.in,,"Fintech, SaaS, Consumer","Chaikings, Ketto, Shieldsquare, Agile parking solutions.","Chandu, a member of The Chennai Angels, possesses over three decades of diverse experience spanning industry, consultancy, media, and information services. He is a cofounder of Scope eKnowledge Center, a trailblazing knowledge process outsourcing company that expanded to over 1000 employees before he departed. His primary responsibilities included driving business growth and securing funding. He is deeply passionate about fostering enterprise development and transformation. Chandu boasts handson involvement with angel investing, venture capital, and strategic investor funding. He has also been part of two successful business exits. Despite this, he was also engaged in establishing other businesses, many of which saw modest success or didn't flourish. Presently, he concentrates on entrepreneurship and enhancing the entrepreneurial ecosystem. He provides guidance to entrepreneurs and businesses in establishing and nurturing their ventures. Chandu has made investments in several startups, although the outcomes are yet to be determined. He contributes to the advisory board of a private equity firm based in Chennai. He is an enthusiastic charter member of TiE Chennai and has actively participated in its mentoring initiatives. Holding a postgraduate degree in Management from IIM Ahmedabad, he has contributed to various industry discussions both nationally and internationally and has served as a visiting faculty member at various business schools."
Chiratae,VC (Tier 1),Kailash Nath,AVP at Chiratae,https://www.chiratae.com/,https://www.linkedin.com/in/kailashnath/,https://twitter.com/kailash_nath,$1M - $3M,"SaaS, HealthTech, Consumer","FirstCry, Yatra, Lenskart, Myntra, Zivame etc.","Chiratae Ventures, formerly known as IDG Ventures, is a technology venture fund with a focus on India. They invest in seed and early-stage startups in various sectors including consumer, software, fintech, and health tech. They actively invest in startups with a cheque size ranging from $5-15 million. Chiratae Ventures has a notable portfolio of startups that they have invested in, including Active.ai, Aroleap, Bytelearn, and Emotix. Their investment strategy revolves around identifying promising startups and providing them with the necessary capital and support to help them grow and succeed. Chiratae Ventures plays an active role in mentoring and guiding the startups in their portfolio to help them achieve their goals and reach their full potential. They actively invest in startups with a cheque size ranging from $5-15 million."
Zomato,Angel Investor,Deepinder Goyal,Founder & CEO at Zomato,,https://www.linkedin.com/in/deepigoyal/,,,"AI/ML, HealthTech, Edtech, SaaS, Mobility","Scaler, Ultrahuman, Park+, Animall","Deepinder Goyal, the Founder and CEO of Zomato, is at the helm of the renowned company. Before establishing Zomato, Deepinder's professional journey involved a stint as a management consultant with Bain and Company in New Delhi. During his tenure at Bain, the idea of an online restaurant information platform was conceived by Deepinder as he observed the demand for menu cards among his colleagues. In 2008, he took the bold step of leaving his role at Bain to initiate Zomato (initially known as foodiebay), which he started from his apartment. Since then, he has led the company's strategic direction and product development. Deepinder holds a degree in Mathematics and Computing from IIT Delhi, graduating in 2005, and originates from Muktsar in Punjab."
Redcliff Capital,Angel Investor,Dheeraj Jain,Director at Redcliff Capital,,https://www.linkedin.com/in/dheeraj-jain-4961352/,https://twitter.com/dheeraj90179631,Up to $1M,"SaaS, HealthTech","Mappr, Burger Singh, Shaadisaga, Qdesq, JustRide, Deyor Camps, Yumlane","Dheeraj Jain holds several prominent roles in various organizations. He is the Co-Founder of Future Therapeutics and serves as the Managing Director and Board Member at Redcliffe Life Sciences. Additionally, he is a Co-Founder and Board Member of Deyor Rooms, as well as the Managing Partner at Redcliffe Capital. Mr. Jain also serves as an Advisor at Qume, a financial software company. Furthermore, he has Co-Founded EverGreen Power Solutions, Deyor Camps, and PeeSafe, where he holds Board Member positions."
Agility Ventures,Angel Investor,Dhianu Das,Founder at Agility Ventures,,https://www.linkedin.com/in/dhianu/,,,"AI/ML, HealthTech, Consumer, Media, Agritech","Brainwired, DolphinChat, Zotalabs, Cleardekho.","Dhianu Das stands out as a prominent luminary in the world of business, boasting a portfolio as a serial entrepreneur and dedicated investor. His mission centers around empowering aspiring entrepreneurs and startups through strategic investments, invaluable mentorship, and the enhancement of capacities that pave the way for rapid business development. His extensive background encompasses investments, operational expertise, strategic insights, and development acumen, which have collectively shaped his role in nurturing numerous startups into thriving enterprises. With an impressive track record, he has not only spearheaded impactful business turnarounds but has also successfully established new ventures across the breadth of India.Dhianu Das embodies excellence as a businessman, an extraordinary mentor offering unparalleled clarity, and a strategist adept at devising and executing plans. He effortlessly combines the qualities of a visionary, a mentor, a shrewd businessman, and a dreamer, making him a well-rounded force in the entrepreneurial realm. As an active angel investor, he extends his support to a multitude of startups dedicated to inventing transformative and solution-oriented products. His investments not only entail financial backing but also the unwavering belief in companies and individuals who harbor unique and visionary business concepts, driven by the passion to revolutionize the world."
Deutsche India,Angel Investor,Dilip Khandelwal,MD & CEO at Deutsche India,,https://www.linkedin.com/in/dilipkhandelwal,https://twitter.com/dilipkhandelwa?lang=en,$1M - $3M,"SaaS, Consumer, Media","Limechat, Signzy, Truefoundry, Pepper Content, Whatfix","Khandelwal is a seasoned business executive with 21 years of experience in leading technology-driven organizations. Currently the Managing Director of Deutsche Bank, he also served as President of SAP HANA Enterprise Cloud. With a focus on open innovation, he mentors B2B startups and is an angel investor in several companies. Recognized with awards and leadership accolades, he is a frequent speaker at industry events. Khandelwal holds engineering and management degrees from Mumbai University and the Indian School of Business."
IndiaMART.COM,Angel Investor,Dinesh Agarwal,Founder & CEO at IndiaMART.COM,,https://www.linkedin.com/in/advanidinesh/?originalSubdomain=in,,-,"Fintech, Edtech, SaaS, Consumer, Media","50Fin, Stage3, Kiko Live, Splitkart, Growealth","Dinesh Agarwal is a prominent Indian entrepreneur and the founder and CEO of IndiaMART, a leading online B2B marketplace in India. In addition to his successful venture, he has become a significant investor, supporting various start-ups. His diverse portfolio includes investments in companies like Curofy (a medical app), Wishberry (a crowdfunding platform), SilverPush (a marketing platform), InnerChef (a food tech start-up), AppVirality (a developer startup), and more. With his strategic investments, Dinesh Agarwal continues to contribute to the growth of the Indian start-up ecosystem."
DSG Partners,VC (Tier 1),Aditya Gogri,Investment Associate at DSG Partners,https://dsgcp.com/,https://www.linkedin.com/in/aditya-gogri-741982127/,,$3M - $6M,"HealthTech, Edtech, SaaS, Consumer, Media, Agritech","Oyo, Farmley, Supertails, GoDesi, Shikho","DSG Consumer Partners is an investment company specializing in consumer businesses, primarily taking minority equity positions in unlisted companies. While prioritizing growth and liquidity, DSG Consumer Partners also considers control deals in conjunction with the right management teams, providing capital and support to fuel the success of these ventures."
Endiya,VC (Tier 2),Chirag Ginglani,Investment professional at Endiya,https://www.endiya.com/,https://www.linkedin.com/in/chirag-ginglani/,https://twitter.com/chiragginglani?lang=en,$6M - $10M,"Fintech, SaaS, Agritech","Cult.fit, AcquaExchange, DarwinBox, Ekincare, Kissht, Zluri","Endiya Partners is a Hyderabad-based venture capital firm specializing in investments in areas such as artificial intelligence, machine learning, agritech, and mobile applications. They have an extensive portfolio of invested startups, including Alphaics, Aqua Exchange, and Cygni Energy, among others."
Eximius Ventures,VC,Preeti N,Partner at Eximius Ventures,https://eximiusvc.com,https://www.linkedin.com/in/preetisampat/,https://twitter.com/eximiusvc?lang=en,,"AI/ML, Fintech, HealthTech, SaaS, Consumer, Media","Jar, Hood, Vegapay, eka.care","Eximius Ventures is a pre-seed fund that invests up to $500k in startups at the pre-product or early traction stages. With a thesis-driven approach, it focuses on sectors like fintech, health tech, media/entertainment, and gaming. The fund provides comprehensive support to its portfolio, including help with follow-on fundraising, strategic hiring, access to a global network, and building strategic partnerships."
ShareChat,Angel Investor,Farid Ahsan,CoFounder at ShareChat,,https://www.linkedin.com/in/faridahsan/,,,"Fintech, HealthTech, Edtech, SaaS, Mobility, Media","Pankhuri, Vahak, ConnectedH, Frontrow","Farid Ahsan holds the esteemed position of CoFounder and Chief Operating Officer at Sharechat, a significant role that underscores his pivotal contributions to the company's growth and operational excellence. Hailing from the prestigious IIT Kanpur, his academic journey led him to achieve a Bachelor of Technology degree with a specialization in Material Science and Engineering, reflecting his commitment to academic excellence and a keen interest in the sciences. As a CoFounder of Sharechat, Farid Ahsan has played an instrumental role in shaping the trajectory of the company. His responsibilities as Chief Operating Officer encompass a diverse range of strategic, operational, and leadership initiatives that contribute to the company's dynamic evolution within the competitive landscape of social media and content sharing."
